Past Convo,Tutor Response,Tutor Action,Prep,Color,Obj
Tutor: Please try to fill in the blank in Italian.  Student: What is the phrase for under?,"Ok, sotto means under. Do you remember what rosa means?","[False, True, False, False, False]",e sotto il,rosa,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is under""?",e sotto il,"[False, True, False, False, False]",e sotto il,rosa,tavolo
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: Ok! But what is ""bag"" in Italian? Tutor: OK,  ""bag"" is  ""borsa"" Student: Oh! And I can't remember what ""yellow"" is...",gialla,"[False, True, False, False, False]",e dentro la,gialla,borsa
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Remember that  ""is in front of the"" is ""e di fronte al"" Student: What is the word for ""red""?",e di fronte al,"[False, True, False, False, False]",e di fronte al,rosso,letto
Tutor: Please try to fill in the blank in Italian.  Student: what is is behind?, e dietro la,"[False, True, False, False, False]",e dietro la,gialla,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is the phrase for under?,e sotto il,"[False, True, False, False, False]",e sotto il,rosa,tavolo
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: What is yellow box in Italian?","I'll give you a hint. ""Box"" would be ""scatola."" Scatola would go before the word yellow. Do you remember the word for ""yellow?""","[True, True, False, False, False]",e dentro la,gialla,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say green? Tutor: OK,  ""green"" is ""verde"" Student: And how do you say plant? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta"" Student: And how do you say ""is next to the""?","""Is next to the"" would be ""e vicino all.""","[False, True, False, False, False]",e vicino alla,verde,pianta
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""bunny""?","I'll help you out. ""Bunny"" would be ""coniglio."" Remember, adjectives follow the noun. So ""coniglio"" would go before ""red."" Do you remember the word for red?","[True, True, False, False, False]",e accanto al,rosso,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: e di fronte al conigli viola,"Oh! You almost got it! Very good. You just left off the ""o"" on the word ""coniglio."" It makes it masculine and singular.","[False, True, True, False, False]",e di fronte al,viola,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: what is next to?,"Ok, ""next to"" would be ""vicino.""","[False, True, False, False, False]",e vicino,giallo,all'albero
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: What is yellow box in Italian?","""Yellow box"" is ""scatola gialla"". Gialla is the feminine form, because the noun it modifies (scatola) is feminine. ","[False, True, False, False, False]",e dentro la,gialla,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say green? Tutor: OK,  ""green"" is ""verde"" Student: And how do you say plant? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta"" Student: And how do you say ""is next to the""?","OK, ""Is next to the"" is ""e vicino alla"". ","[False, True, False, False, False]",e vicino alla,verde,pianta
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""bunny""?","""Bunny"" is ""coniglio"" and ""red"" is ""rosso""- rosso is the masculine form, because the noun it modifies (coniglio) is masculine.","[False, True, False, False, False]",e accanto al,rosso,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: e di fronte al conigli viola,"Almost, ""bunny"" is ""coniglio"" so once you change that word, you are correct. ","[False, False, True, False, False]",e di fronte al,viola,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: what is next to?,"""Is next to the"" is ""e vicino"". Do you know how to say yellow tree?","[False, True, False, False, False]",e vicino,giallo,all'albero
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: What is yellow box in Italian?",Yellow box is scatola gialla.,"[False, True, False, False, False]",e dentro la,gialla,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say green? Tutor: OK,  ""green"" is ""verde"" Student: And how do you say plant? Tutor: Okay, I'll give you a hint.  ""plant"" is  ""pianta"" Student: And how do you say ""is next to the""?",E vicino alla means 'is next to the'.,"[False, True, False, False, False]",e vicino alla,verde,pianta
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""bunny""?",Bunny is coniglio.,"[False, True, False, False, False]",e accanto al,rosso,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: e di fronte al conigli viola,Perfect!,"[False, False, False, True, False]",e di fronte al,viola,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: what is next to?,E vicino means next to.,"[False, True, False, False, False]",e vicino,giallo,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue? Tutor: Remember that  ""blue"" is ""blu"" Student: l cane e di fronte al blu coniglio","Good. Except where does the adjective go in Italian, before or after the noun?","[False, True, False, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: I know the Italian for box, but not for ""in front of"" Tutor: OK,  ""box"" is  ""scatola"" Student: Thanks, I knew that already. What is Italian for ""in front of""? Tutor: OK,  ""is in front of the"" is ""e davanti alla"" Student: OK, thanks. Is it ""il gatto e davanti alla scatola rosa""?",Perfecto!,"[False, True, False, False, False]",e davanti alla,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu"" Student: What is the word for ""bed""? Tutor: Remember that  ""bed"" is  ""letto"" Student: oh yeah I remember that","So now can you put it all together, and say ""the plant is next to the blue bed?""","[False, True, False, False, False]",e accanto al,blu,letto
"Tutor: ""Is Behind The"" is ""e dietro la"". Please try to fill in the blank in Italian.  Student: OK, but what is blue box in Italian? Tutor: OK,  ""box"" is  ""scatola"" Student: Understood. How about ""il coniglio e dietro la scatola azul""","Good guess.  But blue is just ""blu.""","[False, False, True, False, False]",e dietro la,blu,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is Italian for is behind the?,"It's ""e dietro la""","[False, True, False, False, False]",e dietro la,verde,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue? Tutor: Remember that  ""blue"" is ""blu"" Student: l cane e di fronte al blu coniglio"," Okay, I'll give you a hint. ""is in front of the"" is ""e di fronte al""","[False, True, False, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: I know the Italian for box, but not for ""in front of"" Tutor: OK,  ""box"" is  ""scatola"" Student: Thanks, I knew that already. What is Italian for ""in front of""? Tutor: OK,  ""is in front of the"" is ""e davanti alla"" Student: OK, thanks. Is it ""il gatto e davanti alla scatola rosa""?","OK, ""is in front of the"" is ""e davanti alla""","[False, True, False, False, False]",e davanti alla,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu"" Student: What is the word for ""bed""? Tutor: Remember that  ""bed"" is  ""letto"" Student: oh yeah I remember that","Remember that ""bed"" is ""letto""","[False, False, True, False, False]",e accanto al,blu,letto
"Tutor: ""Is Behind The"" is ""e dietro la"". Please try to fill in the blank in Italian.  Student: OK, but what is blue box in Italian? Tutor: OK,  ""box"" is  ""scatola"" Student: Understood. How about ""il coniglio e dietro la scatola azul"""," OK, ""box"" is ""scatola""","[False, True, False, False, False]",e dietro la,blu,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is Italian for is behind the?,What is Italian for is behind the?,"[True, False, False, False, False]",e dietro la,verde,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue? Tutor: Remember that  ""blue"" is ""blu"" Student: l cane e di fronte al blu coniglio","Almost, remember in Italian adjectives follow the noun they modify.","[False, False, True, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: I know the Italian for box, but not for ""in front of"" Tutor: OK,  ""box"" is  ""scatola"" Student: Thanks, I knew that already. What is Italian for ""in front of""? Tutor: OK,  ""is in front of the"" is ""e davanti alla"" Student: OK, thanks. Is it ""il gatto e davanti alla scatola rosa""?","Close, but Italian for red is ""rossa"" not ""rosa"", but otherwise it's correct!","[False, False, True, True, False]",e davanti alla,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is next to""?
  Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: What is the word for ""blue""?
 Tutor: Okay, I'll give you a hint.  ""blue"" is ""blu"" Student: What is the word for ""bed""? Tutor: Remember that  ""bed"" is  ""letto"" Student: oh yeah I remember that","Okay, how do you say the whole sentence then?","[True, False, False, False, False]",e accanto al,blu,letto
"Tutor: ""Is Behind The"" is ""e dietro la"". Please try to fill in the blank in Italian.  Student: OK, but what is blue box in Italian? Tutor: OK,  ""box"" is  ""scatola"" Student: Understood. How about ""il coniglio e dietro la scatola azul""","Almost, but azul is not ""blue"" in Italian. What is blue in Italian?","[True, False, True, False, False]",e dietro la,blu,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is Italian for is behind the?,"""Behind the"" in Italian is ""e dietro la""","[False, True, False, False, False]",e dietro la,verde,scatola
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue?","Okay, I'll give you a hint. ""blue"" is ""blu""","[False, True, False, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: how do I say box? Tutor: Hmm...  ""box"" is  ""scatola"" Student: how do I say in front of?","Okay, i'll give you a hint. ""In front of the"" is ""e di fronte alla""","[False, True, False, False, False]",e di fronte alla,viola,scatola
Tutor: Please try to fill in the blank in Italian.  Student: e vinceno al planto pinko,"Almost. How do you say ""is next to the""? ","[False, False, True, False, False]",e vicino alla,rosa,pianta
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: 
Sì, il gatto è dentro la scatola","Almost. You need to include the word ""rossa"" after scatola to make the phrase ""scatola rossa"".","[False, False, True, False, False]",e dentro la,rossa,scatola
"Tutor: ""Blue"" is ""blu"". Please try to fill in the blank in Italian.  Student: Okay. What is the word for bed again?",Bed is called letto. How do you say on top of the?,"[False, True, False, False, False]",e in cima al,blu,letto
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue?","Blue would be ""blu."" Now try it.","[True, True, False, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: how do I say box? Tutor: Hmm...  ""box"" is  ""scatola"" Student: how do I say in front of?","I'll help you out. Don't forget the ""is"" and ""the"" at the end. ""Is in front of the"" would be ""e di fronte alla.""","[False, True, False, False, False]",e di fronte alla,viola,scatola
Tutor: Please try to fill in the blank in Italian.  Student: e vinceno al planto pinko,"Nice try. You got the""e"" correct. It would be ""e vicino alla pianta rosa."" ""Rosa"" means pink. It would be ""alla"" not al. Also, plant is ""pianta.""","[False, True, True, True, False]",e vicino alla,rosa,pianta
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: 
Sì, il gatto è dentro la scatola","Almost there! You forgot ""rossa"" at the end for ""red.""","[False, False, True, True, False]",e dentro la,rossa,scatola
"Tutor: ""Blue"" is ""blu"". Please try to fill in the blank in Italian.  Student: Okay. What is the word for bed again?","The word for bed would be ""letto."" Now give it a try.","[True, True, False, False, False]",e in cima al,blu,letto
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: e di fronte al Tutor: OK,  ""bunny"" is  ""coniglio"" Student: How do I say in front of? Tutor: Okay, I'll give you a hint.  ""is in front of the"" is ""e di fronte al"" Student: Il cane e di fronte al ... how do I say blue?","okay, blue is blu. ","[False, True, False, False, False]",e di fronte al,blu,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: how do I say box? Tutor: Hmm...  ""box"" is  ""scatola"" Student: how do I say in front of?","""e di fronte alla"" is in front of the ","[False, True, False, False, False]",e di fronte alla,viola,scatola
Tutor: Please try to fill in the blank in Italian.  Student: e vinceno al planto pinko," ""e vicino alla"" is ""is next to the"".","[False, True, False, False, False]",e vicino alla,rosa,pianta
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: 
Sì, il gatto è dentro la scatola",close. how do you say red?,"[True, False, True, False, False]",e dentro la,rossa,scatola
"Tutor: ""Blue"" is ""blu"". Please try to fill in the blank in Italian.  Student: Okay. What is the word for bed again?",The word for bed is letto.,"[False, True, False, False, False]",e in cima al,blu,letto
"Tutor: ""Table"" is ""tavolo"". Please try to fill in the blank in Italian.  Student: il cane tavolo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: avolo Tutor: OK,  ""blue"" is ""blu"" Student: blu","correct, the table is blue so blu is correct","[False, False, False, True, False]",e accanto al,blu,tavolo
"Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow?",gialla is yellow,"[False, True, False, False, False]",e di fronte alla,gialla,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: What is the word under the? Tutor: Hmm...  ""is under the"" is ""e sotto il"" Student: What is the word for blue?",blu is blue,"[False, True, False, False, False]",e sotto il,blu,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: Can you remind me of Italian for ""next to""? Tutor: Hmm...  ""is next to the"" is ""e vicino al"" Student: OK, thanks. Is it ""il gatto e vicino al il cane""?","close, what color is the dog?","[True, False, False, False, False]",e vicino al,rosso,cane
Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla pianta jaune.,"close, can you check your word order?","[False, False, True, False, False]",e vicino alla,gialla,pianta
"Tutor: ""Table"" is ""tavolo"". Please try to fill in the blank in Italian.  Student: il cane tavolo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: avolo Tutor: OK,  ""blue"" is ""blu"" Student: blu","How do you say ""is next to the""?","[True, False, False, False, False]",e accanto al,blu,tavolo
"Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow?","""gialla"" is the word for ""yellow""","[False, True, False, False, False]",e di fronte alla,gialla,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: What is the word under the? Tutor: Hmm...  ""is under the"" is ""e sotto il"" Student: What is the word for blue?","""blu"" is the word for blue.","[False, True, False, False, False]",e sotto il,blu,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: Can you remind me of Italian for ""next to""? Tutor: Hmm...  ""is next to the"" is ""e vicino al"" Student: OK, thanks. Is it ""il gatto e vicino al il cane""?",How do you say red?,"[True, False, False, False, False]",e vicino al,rosso,cane
Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla pianta jaune.,"""jaune"" is not the word for ""yellow"". ""gialla"" is the word for ""yellow""","[False, True, True, False, False]",e vicino alla,gialla,pianta
"Tutor: ""Table"" is ""tavolo"". Please try to fill in the blank in Italian.  Student: il cane tavolo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: avolo Tutor: OK,  ""blue"" is ""blu"" Student: blu",So what do you think the answer is?,"[True, False, False, False, False]",e accanto al,blu,tavolo
"Tutor: ""Box"" is ""scatola"". Please try to fill in the blank in Italian.  Student: Okay, how do you say in front of? Tutor: OK,  ""is in front of the"" is ""e di fronte alla"" Student: And how do you say yellow?","""yellow"" is ""gialla"". Remember to use the feminine form.","[False, True, False, False, False]",e di fronte alla,gialla,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: What is the word under the? Tutor: Hmm...  ""is under the"" is ""e sotto il"" Student: What is the word for blue?","""blue"" is ""blu""","[False, True, False, False, False]",e sotto il,blu,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: Can you remind me of Italian for ""next to""? Tutor: Hmm...  ""is next to the"" is ""e vicino al"" Student: OK, thanks. Is it ""il gatto e vicino al il cane""?","Just add the color of the dog, and you've got it.","[False, False, True, True, False]",e vicino al,rosso,cane
Tutor: Please try to fill in the blank in Italian.  Student: e vicino alla pianta jaune.,"Close. The word for ""yellow"" is ""gialla""","[False, True, True, False, False]",e vicino alla,gialla,pianta
"Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: and how do you say dog? Tutor: OK,  ""box"" is  ""scatola"" Student: How do you say dog?","Dog is ""il cane"".","[False, True, False, False, False]",e dietro la,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say pink? Tutor: Okay, I'll give you a hint.  ""pink"" is ""rosa"" Student: How do you say tree?","Tree is going to be ""all'albero"".","[False, True, False, False, False]",e vicino,rosa,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: ok, how do you say bunny?
","Bunny is ""coniglio"".","[False, True, False, False, False]",e di fronte al,rosso,coniglio
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: How do you say ""purple bunny""?",Let's try to break it down. Do you know the word for purple?,"[True, False, False, False, False]",e di fronte al,viola,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: I don't remember how to say is in front of the in Italian. Any help?,"OK. In front of is translated as ""e di fronte al"".","[False, True, False, False, False]",e di fronte al,verde,letto
"Tutor: Please try to fill in the blank in Italian.  Student: how do you say behind? Tutor: Okay, I'll give you a hint.  ""is behind the"" is ""e dietro la"" Student: and how do you say dog? Tutor: OK,  ""box"" is  ""scatola"" Student: How do you say dog?","""dog"" is ""cane"". It has already been filled in for you.","[False, True, False, False, False]",e dietro la,rossa,scatola
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say pink? Tutor: Okay, I'll give you a hint.  ""pink"" is ""rosa"" Student: How do you say tree?","""tree"" is ""all'albero""","[False, True, False, False, False]",e vicino,rosa,all'albero
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: ok, how do you say bunny?
","""bunny"" is ""coniglio""","[False, True, False, False, False]",e di fronte al,rosso,coniglio
"Tutor: ""Is In Front Of The"" is ""e di fronte al"". Please try to fill in the blank in Italian.  Student: How do you say ""purple bunny""?","""purple"" is ""viola"", ""bunny"" is ""coniglio""","[False, True, False, False, False]",e di fronte al,viola,coniglio
Tutor: Please try to fill in the blank in Italian.  Student: I don't remember how to say is in front of the in Italian. Any help?,"""is in front of the"" is ""e di fronte al""","[False, True, False, False, False]",e di fronte al,verde,letto
