Past Convo,Student Repsonse,"Actions (guess, question, affirmation, other)"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree?",all'albero,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte""",Yes,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero""",yes,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero"" Student: yes Tutor: Hmm...  ""green"" is verde""",yes,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero"" Student: yes Tutor: Hmm...  ""green"" is verde"" Student: yes Tutor: Okay, I'll give you a hint.  ""is in front of the"" is e di fronte""",il cane is e di fronte verde all'albero,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero"" Student: yes Tutor: Hmm...  ""green"" is verde"" Student: yes Tutor: Okay, I'll give you a hint.  ""is in front of the"" is e di fronte"" Student: il cane is e di fronte verde all'albero Tutor: Remember that  ""is in front of the"" is e di fronte""","How do I say ""the"" in italian?","[False, True, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero"" Student: yes Tutor: Hmm...  ""green"" is verde"" Student: yes Tutor: Okay, I'll give you a hint.  ""is in front of the"" is e di fronte"" Student: il cane is e di fronte verde all'albero Tutor: Remember that  ""is in front of the"" is e di fronte"" Student: How do I say ""the"" in italian? Tutor: ['all\' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l\' (""the"")', 'This applies to both feminine and masculine words. Words in Italian have a gender associated with them (either masculine or feminine), even when the word is an object, concepts, or abstract ideas. ']",Ok I get it.,"[False, False, True, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero"" Student: yes Tutor: Hmm...  ""green"" is verde"" Student: yes Tutor: Okay, I'll give you a hint.  ""is in front of the"" is e di fronte"" Student: il cane is e di fronte verde all'albero Tutor: Remember that  ""is in front of the"" is e di fronte"" Student: How do I say ""the"" in italian? Tutor: ['all\' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l\' (""the"")', 'This applies to both feminine and masculine words. Words in Italian have a gender associated with them (either masculine or feminine), even when the word is an object, concepts, or abstract ideas. '] Student: Ok I get it. Tutor: Do you know how to say tree?",il cane is e di fronte all'verde all'albero,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: Ok Tutor: Do you know how to say tree? Student: all'albero Tutor: Hmm...  ""is in front of the"" is e di fronte"" Student: Yes Tutor: OK,  ""tree"" is  ""all'albero"" Student: yes Tutor: Hmm...  ""green"" is verde"" Student: yes Tutor: Okay, I'll give you a hint.  ""is in front of the"" is e di fronte"" Student: il cane is e di fronte verde all'albero Tutor: Remember that  ""is in front of the"" is e di fronte"" Student: How do I say ""the"" in italian? Tutor: ['all\' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l\' (""the"")', 'This applies to both feminine and masculine words. Words in Italian have a gender associated with them (either masculine or feminine), even when the word is an object, concepts, or abstract ideas. '] Student: Ok I get it. Tutor: Do you know how to say tree? Student: il cane is e di fronte all'verde all'albero Tutor: Hmm...  ""green"" is verde""",Yes I remember.,"[False, False, True, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian. ",il gatto is next to the verde tree,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino""",il gatto e vicino the verde tree,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero""",il gatto e vicino verde all albero,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"")",il gatto e vicino verde al albero,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases.",how do you say the green tree?,"[False, True, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde""",How do you say the green,"[False, True, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian.",il gatto e vicino al albero verde,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero""",il gatto e vicino all allbero verde,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde""",il gatto e vicino verde all allbero,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde"" Student: il gatto e vicino verde all allbero Tutor: Okay, I'll give you a hint.  ""green"" is verde""",How do you say is next to the green tree?,"[False, True, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde"" Student: il gatto e vicino verde all allbero Tutor: Okay, I'll give you a hint.  ""green"" is verde"" Student: How do you say is next to the green tree? Tutor: Hmm...  ""green"" is ""verde""",Can you just tell me please?,"[False, True, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde"" Student: il gatto e vicino verde all allbero Tutor: Okay, I'll give you a hint.  ""green"" is verde"" Student: How do you say is next to the green tree? Tutor: Hmm...  ""green"" is ""verde"" Student: Can you just tell me please? Tutor: OK,  ""tree"" is "" all'albero""",il gatto e vicino all allbero verde.,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde"" Student: il gatto e vicino verde all allbero Tutor: Okay, I'll give you a hint.  ""green"" is verde"" Student: How do you say is next to the green tree? Tutor: Hmm...  ""green"" is ""verde"" Student: Can you just tell me please? Tutor: OK,  ""tree"" is "" all'albero"" Student: il gatto e vicino all allbero verde. Tutor: ['all\' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l\' (""the"")', 'This applies to both feminine and masculine words. Words in Italian have a gender associated with them (either masculine or feminine), even when the word is an object, concepts, or abstract ideas. ']",il gatto e vicino l verde all allbero.,"[True, False, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde"" Student: il gatto e vicino verde all allbero Tutor: Okay, I'll give you a hint.  ""green"" is verde"" Student: How do you say is next to the green tree? Tutor: Hmm...  ""green"" is ""verde"" Student: Can you just tell me please? Tutor: OK,  ""tree"" is "" all'albero"" Student: il gatto e vicino all allbero verde. Tutor: ['all\' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l\' (""the"")', 'This applies to both feminine and masculine words. Words in Italian have a gender associated with them (either masculine or feminine), even when the word is an object, concepts, or abstract ideas. '] Student: il gatto e vicino l verde all allbero. Tutor: Hmm...  ""green"" is verde""",How do I say is next to the tree?,"[False, True, False, False]"
" Tutor: ""Green"" is ""verde"". Please try to fill in the blank in Italian.  Student: il gatto is next to the verde tree Tutor: Remember that  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino the verde tree Tutor: OK,  ""tree"" is  ""all'albero"" Student: il gatto e vicino verde all albero Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: il gatto e vicino verde al albero Tutor: Prepositional phrases separate the two noun phrases. Student: how do you say the green tree? Tutor: OK,  ""green"" is ""verde"" Student: How do you say the green Tutor: Adjectives (such as color words) follow the noun they modify in Italian. Student: il gatto e vicino al albero verde Tutor: Remember that  ""tree"" is  ""all'albero"" Student: il gatto e vicino all allbero verde Tutor: OK,  ""green"" is verde"" Student: il gatto e vicino verde all allbero Tutor: Okay, I'll give you a hint.  ""green"" is verde"" Student: How do you say is next to the green tree? Tutor: Hmm...  ""green"" is ""verde"" Student: Can you just tell me please? Tutor: OK,  ""tree"" is "" all'albero"" Student: il gatto e vicino all allbero verde. Tutor: ['all\' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l\' (""the"")', 'This applies to both feminine and masculine words. Words in Italian have a gender associated with them (either masculine or feminine), even when the word is an object, concepts, or abstract ideas. '] Student: il gatto e vicino l verde all allbero. Tutor: Hmm...  ""green"" is verde"" Student: How do I say is next to the tree? Tutor: OK,  ""green"" is ""verde""",I know how to say green. How do I say is next to the?,"[False, True, False, False]"
